branch_name,category,target_branch,file_count,conflict_level,dependencies,inventory_changes,role_changes,playbook_changes,vars_changes,docs_changes,config_changes,other_changes,last_commit,author,last_modified,last_message
feature/sprint2-advanced,CONSOLIDATE,phase-2-consolidated,107,LOW,"roles-after-inventory, playbooks-after-roles",0,11,3,0,27,0,66,2031840f,hanax-ai,Fri Sep 19 06:00:00 2025 +0000,Sprint 2: Advanced Capabilities Implementation
feature/sprint3-operational-excellence,CONSOLIDATE,phase-2-consolidated,151,LOW,"roles-after-inventory, playbooks-after-roles",0,48,4,0,33,0,66,0a9cba51,hanax-ai,Fri Sep 19 06:36:32 2025 +0000,Sprint 3: Operational Excellence & Advanced Featur...
feature/sprint4-final-production,CONSOLIDATE,phase-2-consolidated,186,LOW,"roles-after-inventory, playbooks-after-roles",0,73,4,0,34,2,73,a340fcd1,HANA-X,Fri Sep 19 10:41:13 2025 -0500,Merge pull request #30 from hanax-ai/fix-ci-pipeli...
fix-ci-pipeline,CONSOLIDATE,phase-2-consolidated,186,LOW,"roles-after-inventory, playbooks-after-roles",0,73,4,0,34,2,73,3db84a94,hanax-ai,Fri Sep 19 15:30:58 2025 +0000,CI/CD: Fix pipeline failures
fix/critical-missing-remediation-items,KEEP,N/A,766,N/A,"inventory-first, roles-after-inventory, playbooks-after-roles",34,281,32,17,105,4,282,4df6cb91,HX Infrastructure Team,Wed Sep 17 23:11:52 2025 +0000,Fix Makefile formatting and duplicate targets
fix/phase3_4_remediation,KEEP,N/A,498,N/A,"inventory-first, roles-after-inventory, playbooks-after-roles",9,167,20,13,56,4,218,38fafccb,HX Infrastructure Team,Thu Sep 18 04:26:08 2025 +0000,Fix Critical/Major Issues Per Engineering Code Rev...
hotfix/workflow-fixes-2025-09-20,KEEP,N/A,34,N/A,none,0,0,0,0,0,0,34,c92df256,Manus,Sat Sep 20 16:51:20 2025 -0400,Fix: Address all five Must-Fix items from code rev...
infrastructure-consolidated,CONSOLIDATE,phase-2-consolidated,0,LOW,none,0,0,0,0,0,0,0,1266159f,hanax-ai,Fri Sep 26 05:46:31 2025 +0000,"Enhance POC-1: Add Python Backend, Testing Framewo..."
main,KEEP,N/A,0,N/A,none,0,0,0,0,0,0,0,1266159f,hanax-ai,Fri Sep 26 05:46:31 2025 +0000,"Enhance POC-1: Add Python Backend, Testing Framewo..."
phase-1.0-deployment,KEEP,N/A,18,N/A,none,0,0,0,0,0,0,18,c8af551d,hanax-ai,Fri Sep 26 05:25:09 2025 +0000,Update POC-1/RUNBOOK.pdf - Final version
phase-2-ansible-standards,CONSOLIDATE,phase-2-consolidated,776,LOW,"inventory-first, roles-after-inventory, playbooks-after-roles",29,290,35,17,103,4,287,a10619cd,HX Infrastructure Team,Wed Sep 17 05:19:05 2025 +0000,feat: update ansible.cfg and documentation for Ans...
phase-2-consolidated,CONSOLIDATE,phase-2-consolidated,0,LOW,none,0,0,0,0,0,0,0,1266159f,hanax-ai,Fri Sep 26 05:46:31 2025 +0000,"Enhance POC-1: Add Python Backend, Testing Framewo..."
phase-3.3-backup-automation,CONSOLIDATE,phase-2-consolidated,502,LOW,"inventory-first, roles-after-inventory, playbooks-after-roles",9,169,20,13,58,4,218,b79c62e1,HX Infrastructure Team,Thu Sep 18 03:55:34 2025 +0000,feat: Phase 3.3 - Comprehensive Backup Automation ...
phase1a-safety,KEEP,N/A,22,N/A,none,0,0,0,0,0,0,22,946ab484,hanax-ai,Fri Sep 26 13:30:45 2025 +0000,Phase 1A Safety Artifacts: Complete security and g...
phase1b-remediation,KEEP,N/A,25,N/A,none,0,0,0,0,2,0,22,27253c24,hanax-ai,Fri Sep 26 14:06:44 2025 +0000,Phase 1B: add consolidation planning documentation...
phase2-role-standardization,CONSOLIDATE,phase-2-consolidated,742,LOW,"inventory-first, roles-after-inventory, playbooks-after-roles",33,263,34,18,105,4,274,0355dc59,HX Infrastructure Team,Wed Sep 17 18:52:23 2025 +0000,Phase 2: Complete Role Standardization and Address...
phase4/quality-standards-complete,CONSOLIDATE,phase-2-consolidated,56,LOW,roles-after-inventory,0,10,0,0,1,0,45,659731c7,hanax-ai,Thu Sep 18 13:04:25 2025 +0000,Remove workflow files due to GitHub App permission...
remediate-r6-r7-feedback,KEEP,N/A,785,N/A,"inventory-first, roles-after-inventory, playbooks-after-roles",36,290,34,18,105,4,287,24a77aa8,HX Infrastructure Team,Wed Sep 17 20:18:15 2025 +0000,Remove CI workflow due to GitHub App permissions
remediation-phase3_4-comprehensive,KEEP,N/A,481,N/A,"inventory-first, roles-after-inventory, playbooks-after-roles",9,151,19,13,56,4,218,ac5dace5,HX Infrastructure Team,Thu Sep 18 04:59:09 2025 +0000,Comprehensive Phase 3.4 Remediation: Critical Secu...
security-remediation-consolidated,KEEP,N/A,0,N/A,none,0,0,0,0,0,0,0,1266159f,hanax-ai,Fri Sep 26 05:46:31 2025 +0000,"Enhance POC-1: Add Python Backend, Testing Framewo..."
